plot,subplot,GM_rosettes,GM_adults
3,6,4,21
3,5,2,21
3,4,0,0
3,10,2,12
3,16,2,162
3,11,0,14
3,17,0,35
3,12,1,36
3,18,0,38
3,24,6,48
3,30,5,59
3,23,1,45
3,22,4,133
4,23,2,4
4,28,2,8
4,10,1,3
5,36,17,25
5,22,16,40
5,23,14,31
5,16,4,45
5,18,7,35
5,10,5,57
5,11,10,80
5,17,1,38
6,30,2,7
6,28,0,1
6,22,1,0
6,16,0,2
6,10,0,0
6,11,0,0
6,18,2,7
6,4,6,8
6,5,2,2
6,6,9,11
6,36,0,0
7,34,0,2
7,35,1,3
7,36,1,0
7,30,0,0
7,24,0,0
7,23,0,4
7,28,0,0
7,10,0,0
7,11,0,0
7,12,0,0
7,16,0,0
7,18,0,0
7,4,0,0