plot,subplot,quad,rosette_count,adult_count,total_count
3,4,1,0,0,0
3,4,2,7,0,7
3,4,3,0,0,0
3,4,4,3,0,3
3,5,1,11,1,12
3,5,2,3,4,7
3,5,3,24,5,29
3,5,4,5,12,17
3,6,1,3,9,12
3,6,2,4,2,6
3,6,3,5,2,7
3,6,4,2,7,9
3,10,1,2,3,5
3,10,2,8,0,8
3,10,3,2,11,13
3,10,4,10,0,10
3,11,1,38,2,40
3,11,2,2,8,10
3,11,3,10,1,11
3,11,4,7,6,13
3,12,1,3,1,4
3,12,2,3,6,9
3,12,3,24,13,37
3,12,4,3,6,9
3,16,1,5,25,30
3,16,2,8,30,38
3,16,3,5,19,24
3,16,4,7,29,36
3,17,1,1,13,14
3,17,2,2,5,7
3,17,3,3,3,6
3,17,4,2,3,5
3,18,1,1,18,19
3,18,2,5,13,18
3,18,3,2,2,4
3,18,4,7,3,10
3,22,1,5,31,36
3,22,2,3,49,52
3,22,3,0,13,13
3,22,4,0,44,44
3,23,1,3,9,12
3,23,2,5,12,17
3,23,3,10,4,14
3,23,4,5,10,15
3,24,1,2,5,7
3,24,2,9,3,12
3,24,3,7,4,11
3,24,4,6,1,7
3,28,1,2,13,15
3,28,2,4,25,29
3,28,3,0,5,5
3,28,4,2,7,9
3,29,1,0,18,18
3,29,2,2,14,16
3,29,3,1,14,15
3,29,4,0,10,10
3,30,1,2,13,15
3,30,2,8,13,21
3,30,3,2,22,24
3,30,4,7,11,18
3,34,1,0,1,1
3,34,2,0,1,1
3,34,3,1,4,5
3,34,4,0,5,5
3,35,1,2,15,17
3,35,2,6,6,12
3,35,3,5,12,17
3,35,4,10,9,19
3,36,1,3,8,11
3,36,2,2,32,34
3,36,3,8,16,24
3,36,4,0,27,27
5,4,1,0,5,5
5,4,2,0,5,5
5,4,3,0,6,6
5,4,4,1,7,8
5,5,1,0,8,8
5,5,2,0,11,11
5,5,3,6,7,13
5,5,4,0,9,9
5,6,1,3,11,14
5,6,2,1,9,10
5,6,3,2,6,8
5,6,4,1,7,8
5,10,1,4,3,7
5,10,2,0,12,12
5,10,3,2,4,6
5,10,4,0,8,8
5,11,1,2,8,10
5,11,2,5,13,18
5,11,3,0,27,27
5,11,4,3,13,16
5,12,1,1,15,16
5,12,2,0,16,16
5,12,3,6,0,6
5,12,4,4,2,6
5,16,1,0,6,6
5,16,2,2,9,11
5,16,3,0,5,5
5,16,4,0,7,7
5,17,1,1,13,14
5,17,2,0,3,3
5,17,3,3,10,13
5,17,4,3,4,7
5,18,1,2,7,9
5,18,2,4,5,9
5,18,3,3,4,7
5,18,4,9,5,14
5,22,1,16,4,20
5,22,2,6,10,16
5,22,3,6,5,11
5,22,4,11,6,17
5,23,1,2,11,13
5,23,2,3,2,5
5,23,3,9,6,15
5,23,4,7,3,10
5,24,1,2,6,8
5,24,2,5,4,9
5,24,3,9,8,17
5,24,4,5,0,5
5,28,1,3,1,4
5,28,2,0,0,0
5,28,3,0,0,0
5,28,4,0,0,0
5,29,1,0,4,4
5,29,2,6,3,9
5,29,3,3,5,8
5,29,4,0,3,3
5,30,1,4,11,15
5,30,2,25,7,32
5,30,3,12,4,16
5,30,4,16,10,26
5,34,1,4,0,4
5,34,2,0,0,0
5,34,3,0,11,11
5,34,4,0,0,0
5,35,1,6,1,7
5,35,2,10,3,13
5,35,3,2,6,8
5,35,4,4,4,8
5,36,1,7,3,10
5,36,2,8,4,12
5,36,3,6,3,9
5,36,4,5,9,14
7,4,1,4,0,4
7,4,2,0,0,0
7,4,3,0,0,0
7,4,4,0,0,0
7,5,1,0,0,0
7,5,2,0,0,0
7,5,3,0,0,0
7,5,4,0,0,0
7,6,1,0,0,0
7,6,2,0,0,0
7,6,3,0,0,0
7,6,4,0,0,0
7,10,1,0,0,0
7,10,2,0,0,0
7,10,3,0,0,0
7,10,4,0,0,0
7,11,1,0,0,0
7,11,2,0,0,0
7,11,3,0,0,0
7,11,4,0,0,0
7,12,1,0,0,0
7,12,2,0,0,0
7,12,3,0,0,0
7,12,4,0,0,0
7,16,1,0,0,0
7,16,2,0,0,0
7,16,3,0,0,0
7,16,4,0,0,0
7,17,1,0,0,0
7,17,2,0,0,0
7,17,3,0,0,0
7,17,4,0,0,0
7,18,1,0,0,0
7,18,2,0,0,0
7,18,3,0,0,0
7,18,4,0,0,0
7,22,1,0,0,0
7,22,2,0,0,0
7,22,3,0,0,0
7,22,4,0,0,0
7,23,1,0,0,0
7,23,2,0,0,0
7,23,3,0,0,0
7,23,4,0,0,0
7,24,1,0,0,0
7,24,2,0,0,0
7,24,3,0,0,0
7,24,4,0,0,0
7,28,1,0,0,0
7,28,2,0,0,0
7,28,3,0,0,0
7,28,4,0,0,0
7,29,1,0,0,0
7,29,2,0,0,0
7,29,3,0,0,0
7,29,4,0,0,0
7,30,1,0,0,0
7,30,2,0,0,0
7,30,3,0,1,1
7,30,4,0,0,0
7,34,1,0,0,0
7,34,2,0,1,1
7,34,3,0,0,0
7,34,4,0,0,0
7,35,1,0,0,0
7,35,2,0,1,1
7,35,3,0,2,2
7,35,4,0,1,1
7,36,1,0,0,0
7,36,2,0,0,0
7,36,3,0,0,0
7,36,4,0,0,0