plot,subplot,composite,gm.trt,canopy,days_deployed,phosphate_ppm,nitrate_ppm,ammonium_ppm,inorg_n_ppm,phosphate_ppm_day,nitrate_ppm_day,ammonium_ppm_day,inorg_n_ppm
3,1,C1,weeded,pre_closure,41,1.366,12.362,0.194,12.556,0.033317073,0.301512195,0.004731707,0.306243902
3,1,C1,weeded,post_closure,29,1.305,11.23,0.071,11.301,0.045,0.387241379,0.002448276,0.389689655
3,2,C1,weeded,pre_closure,41,1.366,12.362,0.194,12.556,0.033317073,0.301512195,0.004731707,0.306243902
3,2,C1,weeded,post_closure,29,1.305,11.23,0.071,11.301,0.045,0.387241379,0.002448276,0.389689655
3,3,C2,weeded,pre_closure,41,1.497,15.902,0.204,16.106,0.036512195,0.387853659,0.00497561,0.392829268
3,3,C2,weeded,post_closure,29,0.521,9.441,0.064,9.505,0.017965517,0.325551724,0.002206897,0.327758621
3,4,C3,invaded,pre_closure,41,1.537,12.818,0.13,12.948,0.037487805,0.312634146,0.003170732,0.315804878
3,4,C3,invaded,post_closure,29,1.2,11.276,0.065,11.341,0.04137931,0.388827586,0.002241379,0.391068966
3,5,C4,invaded,pre_closure,41,0.935,16.769,0.181,16.95,0.022804878,0.409,0.004414634,0.413414634
3,5,C4,invaded,post_closure,29,0.401,12.234,0.076,12.31,0.013827586,0.421862069,0.00262069,0.424482759
3,6,C4,invaded,pre_closure,41,0.935,16.769,0.181,16.95,0.022804878,0.409,0.004414634,0.413414634
3,6,C4,invaded,post_closure,29,0.401,12.234,0.076,12.31,0.013827586,0.421862069,0.00262069,0.424482759
3,7,C1,weeded,pre_closure,41,1.366,12.362,0.194,12.556,0.033317073,0.301512195,0.004731707,0.306243902
3,12,C4,invaded,pre_closure,41,0.935,16.769,0.181,16.95,0.022804878,0.409,0.004414634,0.413414634
3,12,C4,invaded,post_closure,29,0.401,12.234,0.076,12.31,0.013827586,0.421862069,0.00262069,0.424482759
3,13,C5,weeded,pre_closure,41,1.628,4.832,0.265,5.097,0.039707317,0.117853659,0.006463415,0.124317073
3,13,C5,weeded,post_closure,29,1.222,13.55,0.062,13.612,0.042137931,0.467241379,0.002137931,0.46937931
3,14,C5,weeded,pre_closure,41,1.628,4.832,0.265,5.097,0.039707317,0.117853659,0.006463415,0.124317073
3,16,C7,invaded,pre_closure,41,1.426,17.693,0.188,17.881,0.034780488,0.431536585,0.004585366,0.436121951
3,16,C7,invaded,post_closure,29,1.288,1.648,0.063,1.711,0.044413793,0.056827586,0.002172414,0.059
3,17,C8,invaded,pre_closure,41,0.559,22.785,0.125,22.91,0.013634146,0.555731707,0.00304878,0.558780488
3,17,C8,invaded,post_closure,29,0.562,6.197,0.074,6.271,0.01937931,0.213689655,0.002551724,0.216241379
3,18,C8,invaded,pre_closure,41,0.559,22.785,0.125,22.91,0.013634146,0.555731707,0.00304878,0.558780488
3,18,C8,invaded,post_closure,29,0.562,6.197,0.074,6.271,0.01937931,0.213689655,0.002551724,0.216241379
3,20,C5,weeded,pre_closure,41,1.628,4.832,0.265,5.097,0.039707317,0.117853659,0.006463415,0.124317073
3,20,C5,weeded,post_closure,29,1.222,13.55,0.062,13.612,0.042137931,0.467241379,0.002137931,0.46937931
3,21,C6,weeded,pre_closure,41,1.359,17.447,0.162,17.609,0.033146341,0.425536585,0.00395122,0.429487805
3,21,C6,weeded,post_closure,29,0.768,12.2,0.083,12.283,0.026482759,0.420689655,0.002862069,0.423551724
3,22,C7,invaded,pre_closure,41,1.426,17.693,0.188,17.881,0.034780488,0.431536585,0.004585366,0.436121951
3,22,C7,invaded,post_closure,29,1.288,1.648,0.063,1.711,0.044413793,0.056827586,0.002172414,0.059
3,23,C8,invaded,pre_closure,41,0.559,22.785,0.125,22.91,0.013634146,0.555731707,0.00304878,0.558780488
3,24,C8,invaded,pre_closure,41,0.559,22.785,0.125,22.91,0.013634146,0.555731707,0.00304878,0.558780488
3,24,C8,invaded,post_closure,29,0.562,6.197,0.074,6.271,0.01937931,0.213689655,0.002551724,0.216241379
3,27,C10,weeded,pre_closure,41,0.887,12.39,0.233,12.623,0.021634146,0.302195122,0.005682927,0.307878049
3,30,C12,invaded,pre_closure,41,0.501,13.944,0.638,14.582,0.012219512,0.340097561,0.015560976,0.355658537
3,30,C12,invaded,post_closure,29,0.428,8.067,0.071,8.138,0.014758621,0.278172414,0.002448276,0.28062069
5,2,C1,weeded,post_closure,28,1.381,0.773,0.092,0.865,0.049321429,0.027607143,0.003285714,0.030892857
5,3,C2,weeded,pre_closure,42,1.378,18.064,0.175,18.239,0.032809524,0.430095238,0.004166667,0.434261905
5,3,C2,weeded,post_closure,28,1.358,2.497,0.076,2.573,0.0485,0.089178571,0.002714286,0.091892857
5,8,C1,weeded,post_closure,28,1.381,0.773,0.092,0.865,0.049321429,0.027607143,0.003285714,0.030892857
5,9,C2,weeded,pre_closure,42,1.378,18.064,0.175,18.239,0.032809524,0.430095238,0.004166667,0.434261905
5,9,C2,weeded,post_closure,28,1.358,2.497,0.076,2.573,0.0485,0.089178571,0.002714286,0.091892857
5,10,C3,invaded,pre_closure,42,1.337,20.847,0.142,20.989,0.031833333,0.496357143,0.003380952,0.499738095
5,10,C3,invaded,post_closure,28,0.911,1.624,0.071,1.695,0.032535714,0.058,0.002535714,0.060535714
5,11,C4,invaded,pre_closure,42,1.598,22.941,0.131,23.072,0.038047619,0.546214286,0.003119048,0.549333333
5,11,C4,invaded,post_closure,28,0.796,1.848,0.072,1.92,0.028428571,0.066,0.002571429,0.068571429
5,12,C4,invaded,post_closure,28,0.796,1.848,0.072,1.92,0.028428571,0.066,0.002571429,0.068571429
5,14,C5,weeded,pre_closure,42,1.29,22.569,0.243,22.812,0.030714286,0.537357143,0.005785714,0.543142857
5,14,C5,weeded,post_closure,28,0.64,1.502,0.073,1.575,0.022857143,0.053642857,0.002607143,0.05625
5,16,C7,invaded,pre_closure,42,1.097,37.42,0.764,38.184,0.026119048,0.890952381,0.018190476,0.909142857
5,16,C7,invaded,post_closure,28,0.777,2,0.061,2.061,0.02775,0.071428571,0.002178571,0.073607143
5,17,C8,invaded,pre_closure,42,1.238,10.342,0.104,10.446,0.02947619,0.246238095,0.00247619,0.248714286
5,17,C8,invaded,post_closure,28,1.141,2.277,0.062,2.339,0.04075,0.081321429,0.002214286,0.083535714
5,18,C8,invaded,pre_closure,42,1.238,10.342,0.104,10.446,0.02947619,0.246238095,0.00247619,0.248714286
5,19,C5,weeded,pre_closure,42,1.29,22.569,0.243,22.812,0.030714286,0.537357143,0.005785714,0.543142857
5,19,C5,weeded,post_closure,28,0.64,1.502,0.073,1.575,0.022857143,0.053642857,0.002607143,0.05625
5,20,C5,weeded,pre_closure,42,1.29,22.569,0.243,22.812,0.030714286,0.537357143,0.005785714,0.543142857
5,20,C5,weeded,post_closure,28,0.64,1.502,0.073,1.575,0.022857143,0.053642857,0.002607143,0.05625
5,21,C6,weeded,pre_closure,42,1.259,22.947,0.014,22.961,0.02997619,0.546357143,0.000333333,0.546690476
5,21,C6,weeded,post_closure,28,0.691,1.728,0.077,1.805,0.024678571,0.061714286,0.00275,0.064464286
5,22,C7,invaded,pre_closure,42,1.097,37.42,0.764,38.184,0.026119048,0.890952381,0.018190476,0.909142857
5,22,C7,invaded,post_closure,28,0.777,2,0.061,2.061,0.02775,0.071428571,0.002178571,0.073607143
5,23,C8,invaded,pre_closure,42,1.238,10.342,0.104,10.446,0.02947619,0.246238095,0.00247619,0.248714286
5,23,C8,invaded,post_closure,28,1.141,2.277,0.062,2.339,0.04075,0.081321429,0.002214286,0.083535714
5,25,C9,weeded,post_closure,28,0.506,0.8,0.074,0.874,0.018071429,0.028571429,0.002642857,0.031214286
5,26,C9,weeded,post_closure,28,0.506,0.8,0.074,0.874,0.018071429,0.028571429,0.002642857,0.031214286
5,27,C10,weeded,pre_closure,42,1.172,23.237,0.394,23.631,0.027904762,0.553261905,0.009380952,0.562642857
5,27,C10,weeded,post_closure,28,1.353,1.415,0.078,1.493,0.048321429,0.050535714,0.002785714,0.053321429
5,29,C12,invaded,post_closure,28,0.947,1.915,0.072,1.987,0.033821429,0.068392857,0.002571429,0.070964286
5,31,C9,weeded,pre_closure,42,1.516,9.614,0.181,9.795,0.036095238,0.228904762,0.004309524,0.233214286
5,32,C9,weeded,pre_closure,42,1.516,9.614,0.181,9.795,0.036095238,0.228904762,0.004309524,0.233214286
5,32,C9,weeded,post_closure,28,0.506,0.8,0.074,0.874,0.018071429,0.028571429,0.002642857,0.031214286
5,33,C10,weeded,pre_closure,42,1.172,23.237,0.394,23.631,0.027904762,0.553261905,0.009380952,0.562642857
5,33,C10,weeded,post_closure,28,1.353,1.415,0.078,1.493,0.048321429,0.050535714,0.002785714,0.053321429
5,36,C12,invaded,pre_closure,42,1.492,27.185,0.131,27.316,0.03552381,0.647261905,0.003119048,0.650380952
5,36,C12,invaded,post_closure,28,0.947,1.915,0.072,1.987,0.033821429,0.068392857,0.002571429,0.070964286
7,1,C1,weeded,post_closure,29,0.922,7.409,0.068,7.477,0.031793103,0.255482759,0.002344828,0.257827586
7,4,C3,invaded,post_closure,29,0.704,9.383,NA,NA,0.024275862,0.323551724,NA,NA
7,7,C1,weeded,post_closure,29,0.922,7.409,0.068,7.477,0.031793103,0.255482759,0.002344828,0.257827586
7,8,C1,weeded,pre_closure,37,1.394,17.481,0.04,17.521,0.037675676,0.472459459,0.001081081,0.473540541
7,8,C1,weeded,post_closure,29,0.922,7.409,0.068,7.477,0.031793103,0.255482759,0.002344828,0.257827586
7,10,C3,invaded,post_closure,29,0.704,9.383,NA,NA,0.024275862,0.323551724,NA,NA
7,11,C4,invaded,pre_closure,37,0.776,19.391,0.187,19.578,0.020972973,0.524081081,0.005054054,0.529135135
7,11,C4,invaded,post_closure,29,0.086,6.5425,0.07,6.6125,0.002965517,0.225603448,0.002413793,0.228017241
7,12,C4,invaded,pre_closure,37,0.776,19.391,0.187,19.578,0.020972973,0.524081081,0.005054054,0.529135135
7,12,C4,invaded,post_closure,29,0.086,6.5425,0.07,6.6125,0.002965517,0.225603448,0.002413793,0.228017241
7,14,C5,weeded,pre_closure,37,0.911,19.307,0.117,19.424,0.024621622,0.521810811,0.003162162,0.524972973
7,14,C5,weeded,post_closure,29,0.894,6.993,0.085,7.078,0.030827586,0.241137931,0.002931034,0.244068966
7,15,C6,weeded,post_closure,29,0.839,14.416,0.075,14.491,0.028931034,0.497103448,0.002586207,0.499689655
7,16,C7,invaded,post_closure,29,0.162,1.204,0.071,1.275,0.005586207,0.041517241,0.002448276,0.043965517
7,18,C8,invaded,pre_closure,37,0.826,26.807,0.505,27.312,0.022324324,0.724513514,0.013648649,0.738162162
7,18,C8,invaded,post_closure,29,0.609,NA,0.08,NA,0.021,NA,0.002758621,NA
7,19,C5,weeded,pre_closure,37,0.911,19.307,0.117,19.424,0.024621622,0.521810811,0.003162162,0.524972973
7,19,C5,weeded,post_closure,29,0.894,6.993,0.085,7.078,0.030827586,0.241137931,0.002931034,0.244068966
7,20,C5,weeded,pre_closure,37,0.911,19.307,0.117,19.424,0.024621622,0.521810811,0.003162162,0.524972973
7,20,C5,weeded,post_closure,29,0.894,6.993,0.085,7.078,0.030827586,0.241137931,0.002931034,0.244068966
7,21,C6,weeded,pre_closure,37,0.564,23.505,NA,NA,0.015243243,0.63527027,NA,NA
7,21,C6,weeded,post_closure,29,0.839,14.416,0.075,14.491,0.028931034,0.497103448,0.002586207,0.499689655
7,23,C8,invaded,pre_closure,37,0.826,26.807,0.505,27.312,0.022324324,0.724513514,0.013648649,0.738162162
7,23,C8,invaded,post_closure,29,0.609,NA,0.08,NA,0.021,NA,0.002758621,NA
7,24,C8,invaded,pre_closure,37,0.826,26.807,0.505,27.312,0.022324324,0.724513514,0.013648649,0.738162162
7,24,C8,invaded,post_closure,29,0.609,NA,0.08,NA,0.021,NA,0.002758621,NA
7,25,C9,weeded,pre_closure,37,0.285,21.275,0.252,21.527,0.007702703,0.575,0.006810811,0.581810811
7,25,C9,weeded,post_closure,29,0.73,7.397,0.067,7.464,0.025172414,0.255068966,0.002310345,0.25737931
7,28,C11,invaded,pre_closure,37,0.453,14.595,0.601,15.196,0.012243243,0.394459459,0.016243243,0.410702703
7,28,C11,invaded,post_closure,29,0.332,11.276,0.065,11.341,0.011448276,0.388827586,0.002241379,0.391068966
7,30,C12,invaded,pre_closure,37,1.117,28.775,0.198,28.973,0.030189189,0.777702703,0.005351351,0.783054054
7,30,C12,invaded,post_closure,29,0.844,9.741,0.079,9.82,0.029103448,0.335896552,0.002724138,0.33862069
7,31,C9,weeded,pre_closure,37,0.285,21.275,0.252,21.527,0.007702703,0.575,0.006810811,0.581810811
7,31,C9,weeded,post_closure,29,0.73,7.397,0.067,7.464,0.025172414,0.255068966,0.002310345,0.25737931
7,32,C9,weeded,pre_closure,37,0.285,21.275,0.252,21.527,0.007702703,0.575,0.006810811,0.581810811
7,32,C9,weeded,post_closure,29,0.73,7.397,0.067,7.464,0.025172414,0.255068966,0.002310345,0.25737931
7,33,C10,weeded,pre_closure,37,0.632,3.076,0.725,3.801,0.017081081,0.083135135,0.019594595,0.10272973
7,33,C10,weeded,post_closure,29,0.328,1.406,0.06,1.466,0.011310345,0.048482759,0.002068966,0.050551724
7,34,C11,invaded,pre_closure,37,0.453,14.595,0.601,15.196,0.012243243,0.394459459,0.016243243,0.410702703
7,34,C11,invaded,post_closure,29,0.332,11.276,0.065,11.341,0.011448276,0.388827586,0.002241379,0.391068966
7,35,C12,invaded,pre_closure,37,1.117,28.775,0.198,28.973,0.030189189,0.777702703,0.005351351,0.783054054
7,35,C12,invaded,post_closure,29,0.844,9.741,0.079,9.82,0.029103448,0.335896552,0.002724138,0.33862069
7,36,C12,invaded,pre_closure,37,1.117,28.775,0.198,28.973,0.030189189,0.777702703,0.005351351,0.783054054
7,36,C12,invaded,post_closure,29,0.844,9.741,0.079,9.82,0.029103448,0.335896552,0.002724138,0.33862069