"id","spp","plot","subplot","composite","gm.trt","canopy","FmPrime","FoPrime","Fs","FvP_over_FmP","NPQt","Phi2","PhiNO","PhiNPQ","SPAD"
"42","Mai",7,36,"C12","invaded","post_closure",3908.03,1396,2203,0.643,1.712,0.436,0.208,0.356,42.81
"42","Mai",7,36,"C12","invaded","pre_closure",992.72,608,962.67,0.388,6.712,0.03,0.126,0.844,27.723
"43","Tri",5,9,"C2","weeded","post_closure",3708.07,946,1921.33,0.745,0.671,0.482,0.31,0.208,43.18
"43","Tri",5,9,"C2","weeded","pre_closure",2562.05,700,1568.67,0.727,0.835,0.388,0.334,0.279,37.513
"54","Mai",3,16,"C7","invaded","post_closure",3591.8,882,1982.67,0.754,0.588,0.448,0.348,0.204,37.342
"86","Tri",5,9,"C2","weeded","pre_closure",2803,799,1425.33,0.715,0.946,0.491,0.261,0.247,33.061
"129","Mai",3,18,"C8","invaded","post_closure",3936.56,1202,2302,0.695,1.145,0.415,0.273,0.312,45.91
"141","Mai",3,13,"C5","weeded","post_closure",4073.88,2062,3184,0.494,4.002,0.218,0.156,0.625,31.464
"141","Mai",3,13,"C5","weeded","pre_closure",1132.69,633,1112,0.441,5.182,0.018,0.159,0.823,26.976
"179","Mai",3,30,"C12","invaded","post_closure",3744.71,791,2287,0.789,0.307,0.389,0.467,0.143,39.774
"179","Mai",3,30,"C12","invaded","pre_closure",2328.94,733,1225.33,0.685,1.241,0.474,0.235,0.291,29.412
"208","Mai",7,33,"C10","weeded","post_closure",3756.05,1246,2267.67,0.668,1.422,0.396,0.249,0.355,40.281
"235","Mai",7,34,"C11","invaded","pre_closure",2081.91,689,1844.33,0.669,1.414,0.114,0.367,0.519,28.059
"275","Mai",7,34,"C11","invaded","post_closure",4495.36,1674,2882,0.628,1.895,0.359,0.221,0.42,44.668
"421","Ari",7,4,"C3","invaded","post_closure",3946.93,1024,1941.67,0.741,0.71,0.508,0.288,0.204,48.147
"425","Tri",3,6,"C4","invaded","pre_closure",3388,918,3319.33,0.729,0.814,0.02,0.54,0.44,32.853
"482","Tri",5,22,"C7","invaded","post_closure",4105.1,1011,2183.67,0.754,0.595,0.468,0.334,0.198,43.064
"511","Mai",3,30,"C12","invaded","post_closure",3515.57,792,1920,0.775,0.419,0.454,0.385,0.161,38.344
"511","Mai",3,30,"C12","invaded","pre_closure",2263.48,725,1164.33,0.68,1.3,0.486,0.224,0.291,23.608
"533","Mai",7,28,"C11","invaded","post_closure",4355.98,2485,3379.33,0.43,5.482,0.224,0.12,0.656,37.137
"543","Mai",3,30,"C12","invaded","post_closure",3403.34,786,1772.67,0.769,0.465,0.479,0.355,0.165,34.46
"543","Mai",3,30,"C12","invaded","pre_closure",2002.81,646,1079.33,0.677,1.323,0.461,0.232,0.307,21.667
"545","Mai",7,32,"C9","weeded","post_closure",3951.32,1218,2345.67,0.692,1.175,0.406,0.273,0.321,42.204
"545","Mai",7,32,"C9","weeded","pre_closure",814.08,544,733.33,0.332,8.829,0.099,0.092,0.809,14.706
"552","Tri",3,14,"C5","weeded","pre_closure",3137.29,858,2917.67,0.727,0.837,0.07,0.506,0.424,30.047
"583","Tri",3,23,"C8","invaded","pre_closure",2770.51,836,1777.67,0.698,1.109,0.358,0.304,0.337,37.9
"631","Mai",5,3,"C2","weeded","post_closure",3474.25,916,1773,0.736,0.747,0.49,0.292,0.218,38.245
"631","Mai",5,3,"C2","weeded","pre_closure",2504.6,716,1357.33,0.714,0.954,0.458,0.277,0.265,29.032
"632","Tri",7,8,"C1","weeded","pre_closure",2659.15,743,1372.67,0.721,0.892,0.484,0.273,0.243,37.839
"652","Mai",7,30,"C12","invaded","post_closure",3954.25,1580,2484,0.6,2.248,0.372,0.193,0.435,42.539
"652","Mai",7,30,"C12","invaded","pre_closure",2384.08,671,1302,0.719,0.911,0.454,0.286,0.26,30.509
"682","Mai",7,23,"C8","invaded","post_closure",3282.04,835,1680,0.746,0.665,0.488,0.307,0.204,43.474
"682","Mai",7,23,"C8","invaded","pre_closure",1258.43,639,992.33,0.492,4.034,0.211,0.157,0.632,28.726
"684","Tri",6,2,"C1","weeded","pre_closure",2796.05,848,1606.67,0.697,1.124,0.425,0.27,0.304,44.301
"747","Ari",7,10,"C3","invaded","post_closure",3110.32,874,1768.67,0.719,0.907,0.431,0.298,0.27,46.181
"774","Tri",3,20,"C5","weeded","post_closure",4285.04,1331,2441,0.689,1.199,0.43,0.259,0.311,51.446
"774","Tri",3,20,"C5","weeded","pre_closure",2725.9,766,1576.67,0.719,0.907,0.422,0.303,0.275,39.638
"784","Ari",7,1,"C1","weeded","post_closure",4958.66,1676,3282,0.662,1.492,0.338,0.266,0.396,48.492
"818","Ari",7,16,"C7","invaded","post_closure",3741.76,956,2124.33,0.745,0.675,0.432,0.339,0.229,43.585
"824","Ari",7,12,"C4","invaded","post_closure",4058.74,1145,2506.33,0.718,0.918,0.382,0.322,0.296,38.626
"860","Mai",7,28,"C11","invaded","pre_closure",2469.66,690,1385.67,0.721,0.892,0.439,0.297,0.265,32.378
"901","Mai",7,31,"C9","weeded","post_closure",3951.72,1538,2618.33,0.611,2.109,0.337,0.213,0.449,37.794
"901","Mai",7,31,"C9","weeded","pre_closure",627.8,522,591.33,0.169,23.077,0.058,0.039,0.903,34.187
"902","Tri",3,7,"C1","weeded","pre_closure",2260.67,748,2044.33,0.669,1.413,0.096,0.375,0.53,29.353
"916","Tri",3,16,"C7","invaded","pre_closure",3132.37,872,3100.67,0.722,0.883,0.01,0.526,0.464,32.157
"972","Tri",7,11,"C4","invaded","post_closure",3555.68,944,1834.67,0.735,0.764,0.484,0.293,0.223,53.862
"972","Tri",7,11,"C4","invaded","pre_closure",2871.51,810,2578.67,0.718,0.917,0.102,0.468,0.43,40.229
"978","Tri",6,6,"C4","invaded","pre_closure",2435.21,754,1548,0.69,1.189,0.364,0.29,0.345,39.329
"1021","Mai",3,24,"C8","invaded","post_closure",4094.3,1079,2595.33,0.736,0.746,0.366,0.363,0.271,42.617
"1021","Mai",3,24,"C8","invaded","pre_closure",1990.08,680,1165,0.658,1.533,0.415,0.231,0.354,28.208
"1153","Mai",7,32,"C9","weeded","post_closure",3920.14,1044,2317.33,0.734,0.771,0.409,0.334,0.257,43.63
"1153","Mai",7,32,"C9","weeded","pre_closure",1893.58,704,1795,0.628,1.888,0.052,0.328,0.62,22.02
"1157","Mai",3,30,"C12","invaded","post_closure",3961.04,960,2374.67,0.758,0.561,0.4,0.384,0.215,37.15
"1157","Mai",3,30,"C12","invaded","pre_closure",2399.22,775,1322.33,0.677,1.329,0.449,0.237,0.314,23.793
"1159","Mai",7,31,"C9","weeded","post_closure",3873.61,1623,2656.67,0.581,2.519,0.314,0.195,0.491,38.688
"1159","Mai",7,31,"C9","weeded","pre_closure",727.37,538,708.67,0.26,12.864,0.026,0.07,0.904,27.413
"1240","Mai",7,21,"C6","weeded","post_closure",3729.89,816,1895.67,0.781,0.367,0.492,0.372,0.136,41.955
"1240","Mai",7,21,"C6","weeded","pre_closure",2378.85,721,1333.67,0.697,1.122,0.439,0.264,0.296,32.382
"1264","Mai",7,21,"C6","weeded","post_closure",3747.11,843,1962.33,0.775,0.417,0.476,0.37,0.154,40.319
"1264","Mai",7,21,"C6","weeded","pre_closure",2315.59,733,1367,0.683,1.26,0.41,0.261,0.329,27.386
"1374","Tri",5,10,"C3","invaded","pre_closure",3046.25,855,1682,0.719,0.904,0.448,0.29,0.262,39.998
"1401","Mai",7,10,"C3","invaded","post_closure",3203.64,874,1854.67,0.727,0.831,0.421,0.316,0.263,37.907
"1432","Mai",5,17,"C8","invaded","post_closure",3172.64,709,1585,0.777,0.404,0.5,0.356,0.144,46.838
"1432","Mai",5,17,"C8","invaded","pre_closure",2339.18,719,1348.67,0.693,1.166,0.423,0.266,0.31,28.536
"1468","Mai",7,11,"C4","invaded","post_closure",3040.13,833,1668,0.726,0.842,0.451,0.298,0.251,39.963
"1476","Mai",5,23,"C8","invaded","post_closure",3446.44,778,1647.33,0.774,0.423,0.522,0.336,0.142,38.733
"1499","Mai",5,17,"C8","invaded","post_closure",3119.01,708,1499,0.773,0.433,0.519,0.335,0.145,42.209
"1499","Mai",5,17,"C8","invaded","pre_closure",2404.55,744,1363,0.691,1.186,0.433,0.259,0.308,25.408
"1647","Tri",7,11,"C4","invaded","post_closure",3443.86,945,1873.67,0.726,0.845,0.456,0.295,0.249,46.531
"1647","Tri",7,11,"C4","invaded","pre_closure",1945.11,664,1231.33,0.659,1.529,0.367,0.25,0.383,35.774
"1663","Mai",3,30,"C12","invaded","pre_closure",2405.64,727,1289.33,0.698,1.113,0.464,0.254,0.282,27.009
"1669","Tri",7,11,"C4","invaded","post_closure",3276.68,877,1760.33,0.732,0.783,0.463,0.301,0.236,39.807
"1669","Tri",7,11,"C4","invaded","pre_closure",2096.06,624,1096,0.702,1.069,0.477,0.253,0.27,27.742
"1686","Tri",3,6,"C4","invaded","post_closure",4119.44,1132,2566,0.725,0.849,0.377,0.337,0.286,48.776
"1686","Tri",3,6,"C4","invaded","pre_closure",2811.64,833,2788.33,0.704,1.054,0.008,0.483,0.509,34.106
"1689","Mai",7,15,"C6","weeded","post_closure",3808.37,881,2114.33,0.769,0.469,0.445,0.378,0.177,42.393
"1700","Mai",7,15,"C6","weeded","post_closure",4014.06,970,2233.33,0.758,0.555,0.444,0.358,0.199,48.823
"1739","Tri",5,14,"C5","weeded","pre_closure",2681.25,847,1494.67,0.684,1.253,0.443,0.247,0.31,38.83
"1739","Tri",5,14,"C5","weeded","pre_closure",2348.27,786,1340.33,0.665,1.455,0.429,0.232,0.338,36.482
"1795","Tri",5,14,"C5","weeded","pre_closure",1388.06,686,1226,0.506,3.768,0.117,0.185,0.698,35.748
"1817","Mai",7,32,"C9","weeded","pre_closure",1291.17,669,1022,0.482,4.247,0.208,0.151,0.641,27.091
"1827","Tri",7,8,"C1","weeded","post_closure",4942.62,1683,3486,0.659,1.52,0.295,0.28,0.425,44.742
"1827","Tri",7,8,"C1","weeded","pre_closure",3006.27,737,1575,0.755,0.585,0.476,0.331,0.193,34.562
"1851","Tri",7,8,"C1","weeded","post_closure",3301.74,1051,1960.67,0.682,1.279,0.406,0.261,0.333,31.327
"1926","Tri",3,5,"C4","invaded","post_closure",4808.63,2030,3194,0.578,2.565,0.336,0.186,0.478,47.533
"1926","Tri",3,5,"C4","invaded","pre_closure",2984.16,866,2829,0.71,0.995,0.052,0.475,0.473,31.842
"1975","Tri",7,18,"C8","invaded","post_closure",3183.3,868,1515,0.727,0.829,0.524,0.26,0.216,42.594
"1997","Tri",7,24,"C8","invaded","post_closure",3974.19,1028,2222.67,0.741,0.703,0.441,0.328,0.231,43.65
"1997","Tri",7,24,"C8","invaded","pre_closure",2318.87,700,1449,0.698,1.11,0.375,0.296,0.329,34.146
"2131","Mai",3,30,"C12","invaded","post_closure",3625.21,827,1974.67,0.772,0.442,0.455,0.378,0.167,37.305
"2131","Tri",7,11,"C4","invaded","post_closure",3857.6,1028,2046.67,0.734,0.773,0.469,0.299,0.231,50.751
"2131","Mai",3,30,"C12","invaded","pre_closure",2131.53,714,1140.33,0.665,1.458,0.465,0.218,0.317,25.158
"2131","Tri",7,11,"C4","invaded","pre_closure",2686.69,744,1457.67,0.723,0.869,0.457,0.29,0.252,38.155
"2215","Ari",5,8,"C1","weeded","post_closure",3484.82,961,1897,0.724,0.858,0.456,0.293,0.251,28.829
"2229","Mai",7,32,"C9","weeded","post_closure",3573.94,896,1898.67,0.749,0.633,0.469,0.325,0.206,44.368
"2247","Mai",7,21,"C6","weeded","post_closure",3662.2,818,1805,0.777,0.404,0.507,0.351,0.142,45.562
"2265","Mai",7,23,"C8","invaded","post_closure",3136.61,863,1704.67,0.725,0.852,0.457,0.293,0.25,38.134
"2265","Mai",7,23,"C8","invaded","pre_closure",1890.94,636,1169.67,0.664,1.473,0.381,0.25,0.368,25.571
"2268","Mai",3,18,"C8","invaded","post_closure",4539.79,1355,3032,0.702,1.076,0.332,0.322,0.346,41.402
"2268","Mai",3,18,"C8","invaded","pre_closure",1970.37,688,1180.33,0.651,1.618,0.401,0.229,0.37,26.272
"2285","Mai",7,23,"C8","invaded","pre_closure",2241.41,657,1211.33,0.707,1.024,0.46,0.267,0.273,24.012
"2289","Tri",7,11,"C4","invaded","post_closure",2534.96,912,1432,0.64,1.742,0.435,0.206,0.359,39.891
"2310","Mai",3,4,"C3","invaded","post_closure",3395.78,1328,2223,0.609,2.134,0.345,0.209,0.446,36.854
"2310","Mai",3,4,"C3","invaded","pre_closure",2343.29,738,2022,0.685,1.243,0.137,0.385,0.478,25.782
"2329","Tri",3,20,"C5","weeded","post_closure",5219.98,2308,3516.33,0.558,2.868,0.326,0.174,0.499,54.07
"2329","Tri",3,20,"C5","weeded","pre_closure",3014.07,843,1478.67,0.72,0.895,0.509,0.259,0.232,45.757
"2337","Mai",3,22,"C7","invaded","post_closure",3909.79,1206,2536.33,0.692,1.177,0.351,0.298,0.351,33.226
"2337","Mai",3,22,"C7","invaded","pre_closure",2297.82,703,1311.33,0.694,1.151,0.429,0.265,0.305,23.521
"2337","Mai",3,22,"C7","invaded","pre_closure",2726.35,738,1236.33,0.729,0.811,0.547,0.25,0.203,24.929
"2379","Tri",7,23,"C8","invaded","post_closure",4299.2,1194,2232.67,0.722,0.876,0.481,0.277,0.243,47.679
"2379","Tri",7,23,"C8","invaded","pre_closure",3000.16,788,1657,0.737,0.738,0.448,0.318,0.235,35.365
"2382","Tri",7,23,"C8","invaded","post_closure",4088.82,1084,2105,0.735,0.76,0.485,0.292,0.222,49.149
"2409","Ari",7,8,"C1","weeded","post_closure",4575.65,1472,2994.33,0.678,1.314,0.346,0.283,0.372,37.048
"2416","Tri",3,17,"C8","invaded","post_closure",4685.17,1456,3028.33,0.689,1.2,0.354,0.294,0.353,44.624
"2416","Tri",3,17,"C8","invaded","pre_closure",3367.84,946,3193.67,0.719,0.906,0.052,0.497,0.451,34.938
"2438","Ari",7,14,"C5","weeded","post_closure",3783.67,1546,2533.67,0.591,2.372,0.33,0.199,0.471,36.718
"2508","Tri",5,21,"C6","weeded","post_closure",3527.51,895,1752.33,0.746,0.659,0.503,0.299,0.197,39.682
"2508","Tri",5,21,"C6","weeded","pre_closure",2269.43,788,2147.67,0.653,1.596,0.054,0.365,0.582,31.529
"2546","Mai",7,33,"C10","weeded","pre_closure",893.79,593,852,0.337,8.621,0.047,0.099,0.854,26.592
"2547","Tri",5,19,"C5","weeded","post_closure",5047.56,1356,2749,0.731,0.793,0.455,0.304,0.241,51.428
"2616","Mai",5,36,"C12","invaded","pre_closure",1111.39,606,1014.67,0.455,4.851,0.087,0.156,0.757,22.452
"2637","Mai",5,36,"C12","invaded","post_closure",3965.76,1331,2474.67,0.664,1.465,0.376,0.253,0.371,38.081
"2662","Mai",5,36,"C12","invaded","post_closure",4227.33,1302,2807.67,0.692,1.172,0.336,0.306,0.358,43.197
"2662","Mai",5,36,"C12","invaded","pre_closure",884.42,622,861,0.297,10.567,0.026,0.084,0.889,30.776
"2666","Mai",7,20,"C5","weeded","post_closure",4006.94,1148,2335,0.713,0.96,0.417,0.297,0.285,44.11
"2666","Mai",7,20,"C5","weeded","pre_closure",2289.41,691,1245.33,0.698,1.11,0.456,0.258,0.286,23.818
"2726","Mai",6,30,"C12","invaded","pre_closure",2557.73,766,2554.33,0.701,1.086,0.001,0.479,0.52,18.847
"2753","Mai",7,10,"C3","invaded","post_closure",3405.46,793,1849,0.767,0.481,0.457,0.367,0.176,43.344
"2776","Mai",7,10,"C3","invaded","post_closure",3685.3,1040,2075.33,0.718,0.919,0.437,0.294,0.27,42.902
"2803","Mai",5,18,"C8","invaded","pre_closure",2402.78,863,2226.67,0.641,1.735,0.073,0.339,0.588,30.847
"2886","Tri",7,24,"C8","invaded","post_closure",4055.92,1089,2189.67,0.732,0.791,0.46,0.301,0.238,44.763
"2886","Tri",7,24,"C8","invaded","pre_closure",2413.77,706,1303,0.708,1.017,0.46,0.268,0.272,32.681
"2912","Tri",5,11,"C4","invaded","post_closure",3572.85,852,1761.33,0.762,0.528,0.507,0.323,0.17,49.199
"2912","Tri",5,11,"C4","invaded","pre_closure",2973.89,811,1594,0.727,0.83,0.464,0.293,0.243,43.226
"2927","Tri",7,14,"C5","weeded","post_closure",4055.43,976,2332.33,0.759,0.547,0.425,0.372,0.203,50.022
"2927","Tri",7,14,"C5","weeded","pre_closure",1254.61,592,854.67,0.528,3.36,0.319,0.156,0.525,34.379
"2988","Tri",5,33,"C10","weeded","pre_closure",1931.9,846,1899.67,0.562,2.802,0.017,0.259,0.725,38.954
"2988","Tri",5,33,"C10","weeded","post_closure",3232,916,1637,0.717,0.93,0.494,0.262,0.244,38.642
"2996","Tri",7,14,"C5","weeded","post_closure",3927.27,1157,2116.67,0.705,1.038,0.461,0.264,0.275,51.321
"3004","Tri",5,21,"C6","weeded","post_closure",4092.6,1156,2285.33,0.718,0.921,0.442,0.291,0.268,41.542
"3043","Tri",7,24,"C8","invaded","post_closure",4155.23,1003,2210.33,0.759,0.553,0.468,0.343,0.189,51.946
"3043","Tri",7,24,"C8","invaded","post_closure",3805.67,964,1887.33,0.747,0.655,0.504,0.3,0.196,46.957
"3043","Tri",7,24,"C8","invaded","pre_closure",2023.41,646,1201.33,0.681,1.289,0.406,0.259,0.334,34.819
"3071","Tri",7,8,"C1","weeded","post_closure",4324.96,1315,2930,0.696,1.132,0.323,0.318,0.36,46.008
"3071","Tri",7,8,"C1","weeded","post_closure",3905.6,1352,2439,0.654,1.584,0.376,0.242,0.383,40.13
"3071","Tri",7,8,"C1","weeded","pre_closure",2053.21,620,1207.67,0.698,1.111,0.412,0.279,0.31,28.031
"3077","Tri",5,21,"C6","weeded","pre_closure",1608.44,621,1573,0.614,2.069,0.022,0.319,0.659,39.212
"3427","Tri",7,35,"C12","invaded","post_closure",3984.87,1242,2259,0.688,1.21,0.433,0.257,0.31,43.824
"3468","Mai",6,9,"C2","weeded","pre_closure",2285.59,726,1440,0.682,1.272,0.37,0.277,0.353,28.387
"3526","Tri",7,35,"C12","invaded","post_closure",4099.41,1377,2416.33,0.664,1.468,0.411,0.239,0.351,49.73
"3526","Tri",7,35,"C12","invaded","pre_closure",2832.89,732,1502.33,0.742,0.7,0.47,0.312,0.218,38.313
"3526","Tri",7,35,"C12","invaded","pre_closure",2972.04,781,2794,0.737,0.739,0.06,0.54,0.4,37.651
"3536","Ari",5,26,"C9","weeded","post_closure",3766.69,937,2032,0.751,0.616,0.461,0.334,0.206,38.379
"3539","Mai",7,31,"C9","weeded","post_closure",4466.44,1301,2764.33,0.709,1.006,0.381,0.309,0.31,40.559
"3539","Mai",7,31,"C9","weeded","pre_closure",759.3,561,734.67,0.261,12.806,0.032,0.07,0.897,36.112
"3563","Tri",3,4,"C3","invaded","post_closure",4755.49,1571,3075.33,0.67,1.407,0.353,0.269,0.378,49.605
