tag_id,spp,plot,subplot,quad,gm.trt,notes
6578,Tri,3,1,4,weeded,
5488,Tri,3,1,1,weeded,
4250,Mai,3,2,4,weeded,
5495,Tri,3,3,2,weeded,
9412,Mai,3,3,1,weeded,
3563,Tri,3,4,1,invaded,
2310,Mai,3,4,2,invaded,
1926,Tri,3,5,2,invaded,
1686,Tri,3,6,3,invaded,
425,Tri,3,6,2_4,invaded,
4714,Tri,3,7,4,weeded,
902,Tri,3,7,4,weeded,
3643,Mai,3,12,2,invaded,
5184,Mai,3,13,2_4,weeded,
141,Mai,3,13,2,weeded,
552,Tri,3,14,2,weeded,
916,Tri,3,16,2_4,invaded,
54,Mai,3,16,4,invaded,
2416,Tri,3,17,2_4,invaded,
2268,Mai,3,18,4,invaded,
2329,Tri,3,20,3,weeded,
774,Tri,3,20,4,weeded,5069?
5479,Tri,3,21,3,weeded,
392,Tri,3,22,2,invaded,
6558,Tri,3,22,4,invaded,
2337,Mai,3,22,2,invaded,
583,Tri,3,23,3_4,invaded,
4934,Tri,3,23,4,invaded,
1021,Mai,3,24,2,invaded,
5069,Mai,3,24,2,invaded,
5030,Mai,3,24,1,invaded,
4942,Tri,3,27,1,weeded,
179,Mai,3,30,2,invaded,
511,Mai,3,30,2,invaded,
543,Mai,3,30,2_4,invaded,
1157,Mai,3,30,1,invaded,
1663,Mai,3,30,3_4,invaded,
2131,Mai,3,30,2,invaded,
3665,Mai,3,30,1,invaded,
631,Mai,5,3,3,weeded,
3960,Mai,5,3,1,weeded,
3993,Mai,5,3,1,weeded,
flag_2,Mai,5,3,3,weeded,
flag_3,Mai,5,3,3,weeded,
43,Tri,5,9,1_3,weeded,
86,Tri,5,9,3,weeded,
5904,Tri,5,9,2,weeded,
7147,Tri,5,9,3,weeded,
1374,Tri,5,10,1,invaded,
4105,Tri,5,10,4,invaded,
4547,Tri,5,10,center,invaded,
5381,Tri,5,10,3,invaded,
614,Tri,5,11,center,invaded,
2912,Tri,5,11,3_4,invaded,
1795,Tri,5,14,2,weeded,
4177,Tri,5,14,2,weeded,
1739,Tri,5,14,2,weeded,
flag_3,Tri,5,14,2,weeded,
2563,Tri,5,16,3,invaded,
flag_8,Tri,5,16,3,invaded,
1432,Mai,5,17,2,invaded,
1499,Mai,5,17,2_4,invaded,
2803,Mai,5,18,1_3,invaded,
2547,Tri,5,19,1,weeded,
5115,Tri,5,19,3,weeded,
5228,Tri,5,19,1,weeded,
4000,Tri,5,20,4,weeded,
3004,Tri,5,21,4,weeded,
3077,Tri,5,21,1_2,weeded,
4576,Tri,5,21,3,weeded,
2508,Tri,5,21,NA,weeded,
482,Tri,5,22,1,invaded,
4414,Tri,5,22,2,invaded,
4959,Tri,5,22,4,invaded,
4990,Tri,5,22,1_3,invaded,
4431,Tri,5,23,3,invaded,
1476,Mai,5,23,1,invaded,
4781,Mai,5,23,1,invaded,
5657,Mai,5,23,1,invaded,
4630,Tri,5,27,4,weeded,
5877,Tri,5,27,3,weeded,
2573,Tri,5,31,4,weeded,
4109,Tri,5,32,1_2,weeded,
2988,Tri,5,33,1_2,weeded,
5052,Mai,5,36,3,invaded,
2616,Mai,5,36,3,invaded,
2662,Mai,5,36,3,invaded,
632,Tri,7,8,3,weeded,
1827,Tri,7,8,3,weeded,
1851,Tri,7,8,3,weeded,
3071,Tri,7,8,center,weeded,
972,Tri,7,11,1,invaded,
1647,Tri,7,11,center,invaded,
1669,Tri,7,11,1_3,invaded,
2131,Tri,7,11,1,invaded,
2289,Tri,7,11,1_3,invaded,
6507,Tri,7,12,2_4,invaded,
7574,Tri,7,12,2_4,invaded,
2927,Tri,7,14,4,weeded,
2996,Tri,7,14,1,weeded,
1975,Tri,7,18,3,invaded,
4081,Tri,7,18,3,invaded,
4844,Mai,7,19,center,weeded,
4871,Mai,7,19,1,weeded,
2666,Mai,7,20,4,weeded,
5073,Mai,7,20,4,weeded,
5015,Mai,7,20,4,weeded,
5077,Mai,7,20,4,weeded,
1240,Mai,7,21,1,weeded,
1264,Mai,7,21,1,weeded,
2379,Tri,7,23,3,invaded,
2382,Tri,7,23,3,invaded,
682,Mai,7,23,2_4,invaded,
3581,Mai,7,23,2,invaded,
2265,Mai,7,23,NA,invaded,
2285,Mai,7,23,2,invaded,
4736,Mai,7,23,4,invaded,
1997,Tri,7,24,2,invaded,
2886,Tri,7,24,3,invaded,
3043,Tri,7,24,3,invaded,
4859,Mai,7,24,3,invaded,
4865,Mai,7,24,3,invaded,
4676,Mai,7,24,3,invaded,
6808,Mai,7,25,3,weeded,
860,Mai,7,28,1,invaded,
4874,Mai,7,28,2,invaded,
4802,Mai,7,30,1,invaded,
652,Mai,7,30,3,invaded,
4834,Mai,7,30,2,invaded,
1159,Mai,7,31,3,weeded,
3539,Mai,7,31,3_4,weeded,
901,Mai,7,31,3,weeded,
1817,Mai,7,32,3,weeded,
6027,Mai,7,32,3_4,weeded,
1153,Mai,7,32,2,weeded,
6000,Mai,7,32,2,weeded,
545,Mai,7,32,2,weeded,
2546,Mai,7,33,3,weeded,
235,Mai,7,34,4,invaded,
6100,Mai,7,34,3_4,invaded,
3427,Tri,7,35,4,invaded,
3526,Tri,7,35,4,invaded,
6685,Mai,7,35,1,invaded,
4883,Mai,7,35,1,invaded,
42,Mai,7,36,1,invaded,